comparison_family,dataset,comparator,Delta_NMI,Delta_h,Delta_c,Delta_UY,Delta_UZ,Delta_rho_H,PSF_NMI,comparator_NMI,PSF_homogeneity,comparator_homogeneity,PSF_completeness,comparator_completeness,PSF_rho_H,comparator_rho_H
external,Chameleon,HBGF,0.01008114911857455,0.0026961382927806823,0.019611224811405724,0.002696138292780814,0.01961122481140598,-0.22931147024662468,0.0645215350884269,0.054440385969852345,0.05720620697543075,0.05451006868265007,0.07398210604424198,0.05437088123283625,0.7732438292743508,1.0025552995209754
external,Chameleon,CEHM,-0.002529931389741877,-0.0018361548466788655,-0.0035923600329443584,-0.0018361548466787614,-0.003592360032944164,0.012139748535201944,0.0645215350884269,0.06705146647816877,0.05720620697543075,0.05904236182210962,0.07398210604424198,0.07757446607718634,0.7732438292743508,0.7611040807391488
external,Chameleon,YACHT,-0.014561709405969597,-0.020628639063519756,-0.006415634813506446,-0.02062863906351975,-0.006415634813506266,-0.19340322027912482,0.0645215350884269,0.07908324449439649,0.05720620697543075,0.07783484603895051,0.07398210604424198,0.08039774085774842,0.7732438292743508,0.9666470495534756
external,Chameleon,RANGE,-0.0142329017581279,-0.01868863984811716,-0.007918749332263247,-0.018688639848117194,-0.007918749332262998,-0.15591263723586635,0.0645215350884269,0.0787544368465548,0.05720620697543075,0.07589484682354791,0.07398210604424198,0.08190085537650522,0.7732438292743508,0.9291564665102171
external,Chameleon,GPEC,-0.011161977291596473,-0.015696203151429396,-0.00471113634602946,-0.01569620315142939,-0.0047111363460292655,-0.15387478437991597,0.0645215350884269,0.07568351238002337,0.05720620697543075,0.07290241012686015,0.07398210604424198,0.07869324239027144,0.7732438292743508,0.9271186136542667
external,Amazon Photo,MCLA,0.1283156518572089,0.12746754219280593,0.12814287353430603,0.12746754219280593,0.12814287353430603,0.02898238098111605,0.5399751412800128,0.4116594894228039,0.5115649456965315,0.3840974035037256,0.571726864459401,0.443583990925095,0.8947721472747058,0.8657897662935897
external,Amazon Photo,HBGF,0.16285993415487476,0.11939844577318764,0.20855031989214007,0.11939844577318753,0.20855031989214007,-0.18505110895761068,0.5399751412800128,0.377115207125138,0.5115649456965315,0.3921664999233439,0.571726864459401,0.36317654456726095,0.8947721472747058,1.0798232562323165
external,Amazon Photo,CEHM,-0.014377652947229036,-0.009879360410185223,-0.019968223333959756,-0.009879360410185334,-0.019968223333959756,0.013499416174591605,0.5399751412800128,0.5543527942272418,0.5115649456965315,0.5214443061067168,0.571726864459401,0.5916950877933608,0.8947721472747058,0.8812727311001142
external,Amazon Photo,YACHT,0.15024236397542545,0.11220488976702286,0.19113313683472627,0.11220488976702286,0.19113313683472627,-0.15526623767671432,0.5399751412800128,0.38973277730458733,0.5115649456965315,0.3993600559295087,0.571726864459401,0.38059372762467475,0.8947721472747058,1.05003838495142
external,Amazon Photo,RANGE,0.1306575952363465,0.08970507161835284,0.17422711826272141,0.0897050716183529,0.17422711826272147,-0.16657633203006583,0.5399751412800128,0.40931754604366627,0.5115649456965315,0.4218598740781787,0.571726864459401,0.3974997461966796,0.8947721472747058,1.0613484793047716
external,Amazon Photo,GPEC,0.1858884846626701,0.1464946810933741,0.22797297589082877,0.146494681093374,0.22797297589082893,-0.1684444751689168,0.5399751412800128,0.3540866566173427,0.5115649456965315,0.36507026460315745,0.571726864459401,0.34375388856857225,0.8947721472747058,1.0632166224436226
external,ORL,MCLA,-0.03598289294383328,-0.06256474709633641,-0.007197244553234006,-0.06256474709633647,-0.007197244553233936,-0.06367019576903432,0.8383765883539679,0.8743594812978012,0.8091002942209041,0.8716650413172405,0.8698744658729322,0.8770717104261662,0.9301702864036052,0.9938404821726395
external,ORL,HBGF,-0.02277115183679279,-0.04978590370028013,0.006452994638566301,-0.04978590370028013,0.006452994638566356,-0.06456891369550333,0.8383765883539679,0.8611477401907607,0.8091002942209041,0.8588861979211843,0.8698744658729322,0.8634214712343659,0.9301702864036052,0.9947392000991085
external,ORL,CEHM,-0.002865631494013421,0.0036235500538458476,-0.010610906964058087,0.0036235500538458476,-0.010610906964058017,0.0154747845822788,0.8383765883539679,0.8412422198479813,0.8091002942209041,0.8054767441670583,0.8698744658729322,0.8804853728369902,0.9301702864036052,0.9146955018213264
external,ORL,YACHT,-0.016965031747790515,-0.03947595808432547,0.00764594507334615,-0.03947595808432547,0.007645945073346289,-0.0540414089533221,0.8383765883539679,0.8553416201017584,0.8091002942209041,0.8485762523052296,0.8698744658729322,0.862228520799586,0.9301702864036052,0.9842116953569273
external,ORL,RANGE,-0.038565806113292966,-0.06083214981747076,-0.014192101328425966,-0.060832149817470815,-0.014192101328425924,-0.053840588451210536,0.8383765883539679,0.8769423944672609,0.8091002942209041,0.8699324440383749,0.8698744658729322,0.8840665672013581,0.9301702864036052,0.9840108748548158
external,ORL,GPEC,-0.028997678412978733,-0.04502337199089124,-0.011201275731201,-0.04502337199089118,-0.01120127573120086,-0.039176117885069583,0.8383765883539679,0.8673742667669466,0.8091002942209041,0.8541236662117954,0.8698744658729322,0.8810757416041332,0.9301702864036052,0.9693464042886748
external,ACM,MCLA,0.06067145090550058,0.06651417435974522,0.05449148916159924,0.06651417435974516,0.05449148916159918,0.030877857039094403,0.45841566997142036,0.3977442190659198,0.4563781533454094,0.38986397898566416,0.46047152160982363,0.4059800324482244,0.9911148625313159,0.9602370054922215
external,ACM,HBGF,0.10620013012340296,0.10404026760233853,0.10837824271864438,0.10404026760233842,0.10837824271864449,-0.009579356404893713,0.45841566997142036,0.3522155398480174,0.4563781533454094,0.35233788574307084,0.46047152160982363,0.35209327889117925,0.9911148625313159,1.0006942189362096
external,ACM,CEHM,0.006596678207754281,0.007906592570866011,0.005248600123485325,0.0079065925708659,0.005248600123485381,0.005974399265596508,0.45841566997142036,0.4518189917636661,0.4563781533454094,0.44847156077454337,0.46047152160982363,0.4552229214863383,0.9911148625313159,0.9851404632657194
external,ACM,YACHT,0.004621236900684,0.005287482186478232,0.003940333779047345,0.005287482186478121,0.003940333779047345,0.0030362465700980446,0.45841566997142036,0.45379443307073636,0.4563781533454094,0.45109067115893114,0.46047152160982363,0.4565311878307763,0.9911148625313159,0.9880786159612178
external,ACM,RANGE,-0.040652218071692336,-0.04165469988398979,-0.03963597658319873,-0.04165469988398984,-0.03963597658319867,-0.004723073163300895,0.45841566997142036,0.4990678880431127,0.4563781533454094,0.49803285322939916,0.46047152160982363,0.5001074981930224,0.9911148625313159,0.9958379356946168
external,ACM,GPEC,0.0013198232299691526,0.0018735895237402822,0.0007545107761772751,0.0018735895237402822,0.0007545107761772751,0.002446682790009369,0.45841566997142036,0.4570958467414512,0.4563781533454094,0.4545045638216691,0.46047152160982363,0.45971701083364636,0.9911148625313159,0.9886681797413065
external,Iris,MCLA,-0.011927771752908711,-0.012093921648740125,-0.01176078598626984,-0.012093921648740236,-0.011760785986269673,-0.0005597475341572178,0.6371750880827056,0.6491028598356143,0.6365366435893446,0.6486305652380847,0.6378152111323306,0.6495759971186005,0.9979824421097107,0.9985421896438679
external,Iris,HBGF,0.01248298424924621,0.011957527751235264,0.013010078416476945,0.011957527751235209,0.013010078416477056,-0.0016558180998975658,0.6371750880827056,0.6246921038334594,0.6365366435893446,0.6245791158381093,0.6378152111323306,0.6248051327158537,0.9979824421097107,0.9996382602096082
external,Iris,CEHM,-0.012260411902075052,-0.01218970229538785,-0.01233146944935426,-0.01218970229538796,-0.012331469449354149,0.00017044424745205067,0.6371750880827056,0.6494354999847807,0.6365366435893446,0.6487263458847324,0.6378152111323306,0.6501466805816849,0.9979824421097107,0.9978119978622586
external,Iris,YACHT,0.0837272212441813,0.08585314705804481,0.08153881007101726,0.0858531470580447,0.08153881007101738,0.011582142296371445,0.6371750880827056,0.5534478668385243,0.6365366435893446,0.5506834965312998,0.6378152111323306,0.5562764010613134,0.9979824421097107,0.9864002998133392
external,Iris,RANGE,0.022260263506109546,0.022224175589454886,0.022296651281440316,0.022224175589454886,0.02229665128144037,-5.142058126561544e-05,0.6371750880827056,0.6149148245765961,0.6365366435893446,0.6143124679998897,0.6378152111323306,0.6155185598508903,0.9979824421097107,0.9980338626909763
external,Iris,GPEC,-0.010060404463581363,-0.010110101271233018,-0.010010459840862462,-0.01011010127123313,-0.010010459840862407,-0.00019465164335252805,0.6371750880827056,0.647235492546287,0.6365366435893446,0.6466467448605776,0.6378152111323306,0.6478256709731931,0.9979824421097107,0.9981770937530632
external,Mushroom,MCLA,0.12266736761697436,0.09071194629443993,0.1647723157982221,0.0907119462944399,0.16477231579822216,-0.20967684652252938,0.2753553153750235,0.15268794775804914,0.2426626364141967,0.15195069011975676,0.31823198254525736,0.15345966674703526,0.7626702941838279,0.9723471407063573
external,Mushroom,HBGF,0.10663529741063008,0.07386391285986516,0.14959059680907552,0.07386391285986527,0.1495905968090756,-0.23826267857053396,0.2753553153750235,0.16872001796439343,0.2426626364141967,0.16879872355433154,0.31823198254525736,0.16864138573618184,0.7626702941838279,1.0009329727543619
external,Mushroom,CEHM,-0.03302167481677859,-0.027025901794760082,-0.04179502639204408,-0.027025901794760054,-0.04179502639204413,0.013583811286593916,0.2753553153750235,0.3083769901918021,0.2426626364141967,0.2696885382089568,0.31823198254525736,0.36002700893730144,0.7626702941838279,0.749086482897234
external,Mushroom,YACHT,0.26681802180188974,0.23416242780909427,0.30965669757437136,0.23416242780909435,0.3096566975743714,-0.21359502689783483,0.2753553153750235,0.008537293573133783,0.2426626364141967,0.00850020860510242,0.31823198254525736,0.008575284970885987,0.7626702941838279,0.9762653210816628
external,Mushroom,RANGE,0.18624186982184798,0.15499647278369963,0.22759068052091425,0.15499647278369966,0.22759068052091436,-0.19268300654862014,0.2753553153750235,0.08911344555317552,0.2426626364141967,0.08766616363049706,0.31823198254525736,0.09064130202434313,0.7626702941838279,0.9553533007324481
external,Mushroom,GPEC,0.10767878699396391,0.08468278933842655,0.1383842855697019,0.08468278933842655,0.13838428556970184,-0.126416913596625,0.2753553153750235,0.1676765283810596,0.2426626364141967,0.15797984707577015,0.31823198254525736,0.17984769697555547,0.7626702941838279,0.8890872077804529
