dataset,method,true_class,class_size,H_Z_given_Y_class,effective_fragments,occupied_predicted_clusters,dominant_predicted_cluster_share,second_largest_predicted_cluster_share
Chameleon,GPEC,1,460.0,1.3650871978774741,3.9167644975603593,5.0,0.43043478260869567,0.26159420289855073
Chameleon,GPEC,2,453.0,1.497643827326314,4.474845096907351,5.0,0.318616629874908,0.2641648270787344
Chameleon,GPEC,3,521.0,1.3792944200961752,3.977638870300743,5.0,0.39475367882277673,0.32053742802303264
Chameleon,GPEC,4,387.0,1.3871233186836889,4.005023507566996,5.0,0.35314384151593453,0.3186907838070629
Chameleon,HBGF,0,456.0,1.406003547292572,4.080781645666442,5.0,0.4144736842105263,0.23172514619883042
Chameleon,HBGF,1,460.0,1.5646922545425548,4.781614309242991,5.0,0.27318840579710146,0.24347826086956523
Chameleon,HBGF,2,453.0,1.5718038135082288,4.815450076778471,5.0,0.28550404709345106,0.2229580573951435
Chameleon,HBGF,3,521.0,1.513482137916484,4.543079164097585,5.0,0.3115802943058221,0.24440179142674343
Chameleon,HBGF,4,387.0,1.5591832679684596,4.75511987869523,5.0,0.27648578811369506,0.2532299741602067
Chameleon,MCLA,0,456.0,0.8523439933367601,2.422266145666353,4.333333333333333,0.7171052631578947,0.1513157894736842
Chameleon,MCLA,1,460.0,1.0648646895882816,2.968322905182595,4.333333333333333,0.5905797101449276,0.22028985507246376
Chameleon,MCLA,2,453.0,1.3260993336808802,3.7682222007021124,4.333333333333333,0.3701250919793966,0.27520235467255333
Chameleon,MCLA,3,521.0,1.1843481452190352,3.272939929812566,4.333333333333333,0.4209852847088931,0.3761996161228407
Chameleon,MCLA,4,387.0,1.2655415115262247,3.555112361064442,4.0,0.3669250645994832,0.3135228251507321
Chameleon,PSF-CE,0,456.0,0.7013982119118376,2.016570329851108,5.0,0.8157894736842105,0.07675438596491228
Chameleon,PSF-CE,1,460.0,0.9786750039166544,2.6609281856911227,5.0,0.6891304347826087,0.17391304347826086
Chameleon,PSF-CE,2,453.0,1.4494616992497438,4.2608202949725,5.0,0.3995584988962472,0.26490066225165565
Chameleon,PSF-CE,3,521.0,1.2808729866689126,3.5997809150113453,5.0,0.39923224568138194,0.3838771593090211
Chameleon,PSF-CE,4,387.0,1.3513090260562042,3.8624783076133293,5.0,0.3824289405684754,0.3178294573643411
Chameleon,RANGE,0,456.0,1.3001084142941632,3.6913221327576653,5.0,0.4305555555555556,0.3252923976608187
Chameleon,RANGE,1,460.0,1.4048576295700197,4.0978225171759055,5.0,0.4159420289855072,0.2253623188405797
Chameleon,RANGE,2,453.0,1.4680534857038416,4.344861902764001,5.0,0.32450331125827814,0.2560706401766005
Chameleon,RANGE,3,521.0,1.3323416617870252,3.799027590802995,5.0,0.3941138835572617,0.33269353806781826
Chameleon,RANGE,4,387.0,1.3441354440129445,3.8359389740757623,5.0,0.35572782084409993,0.3186907838070629
Chameleon,YACHT,0,456.0,1.3468139619519042,3.8608845194788852,5.0,0.3954678362573099,0.32821637426900585
Chameleon,YACHT,1,460.0,1.4759673781160052,4.390009576222029,5.0,0.32608695652173914,0.27246376811594203
Chameleon,YACHT,2,453.0,1.4876387132403526,4.428156942763042,5.0,0.31567328918322296,0.2634289919058131
Chameleon,YACHT,3,521.0,1.4258648877632643,4.168275549675318,5.0,0.38643634037108127,0.25975687779910434
Chameleon,YACHT,4,387.0,1.3914789469684885,4.028020263714272,5.0,0.3333333333333333,0.28251507321274766
Iris,CEHM,0,50.0,0.0,1.0,1.0,1.0,0.0
Iris,CEHM,1,50.0,0.5349652836499111,1.7075001108644525,2.0,0.7733333333333334,0.22666666666666666
Iris,CEHM,2,50.0,0.6155640775307757,1.8509359007330881,2.0,0.6933333333333334,0.3066666666666667
Iris,GPEC,0,50.0,0.0,1.0,1.0,1.0,0.0
Iris,GPEC,1,50.0,0.543022605868442,1.7213129642050742,2.0,0.7666666666666666,0.2333333333333333
Iris,GPEC,2,50.0,0.6155640775307757,1.8509359007330881,2.0,0.6933333333333334,0.3066666666666667
Iris,HBGF,0,50.0,0.09803911327973198,1.1030059264441496,2.0,0.98,0.02
Iris,HBGF,1,50.0,0.5584055911017887,1.747977467597589,2.0,0.7533333333333333,0.24666666666666667
Iris,HBGF,2,50.0,0.5796890505701051,1.785561858760871,2.0,0.7333333333333334,0.26666666666666666
Iris,MCLA,0,50.0,0.0,1.0,1.0,1.0,0.0
Iris,MCLA,1,50.0,0.543022605868442,1.7213129642050742,2.0,0.7666666666666666,0.2333333333333333
Iris,MCLA,2,50.0,0.6102290256915981,1.8410295488589588,2.0,0.7000000000000001,0.3
