variant,dataset,ACC,NMI,ARI,F1
PSF-CE w/o nonlinear filtering,ACM,0.6836363636363636,0.45714773199765046,0.41467571377468654,0.6902833162797247
PSF-CE w/o nonlinear filtering,ALOI,0.6929012345679012,0.8064550103868844,0.279534377034469,0.7173776879858084
PSF-CE w/o nonlinear filtering,Actor,0.2609210526315789,0.0008775698851171999,0.0010630493214675667,0.11655080878566894
PSF-CE w/o nonlinear filtering,Amazon Computers,0.5246509598603839,0.4522082274655153,0.300061975910044,0.5276730754678266
PSF-CE w/o nonlinear filtering,Amazon Photo,0.5913725490196078,0.540030459148087,0.3696944030404918,0.5210709522468585
PSF-CE w/o nonlinear filtering,BBC News Sport,0.4477611940298507,0.2612363459470592,0.10620436659109249,0.40743922069074845
PSF-CE w/o nonlinear filtering,BBC-MV,0.33041362530413615,0.0141642838176548,0.0018393328630827667,0.11472689999932294
PSF-CE w/o nonlinear filtering,BBCSport-MV,0.4889705882352941,0.254786142068991,0.0877308842181558,0.3456523235833356
PSF-CE w/o nonlinear filtering,COIL100,0.523287037037037,0.7852686367060059,0.4247972486002641,0.5001012351669223
PSF-CE w/o nonlinear filtering,COIL20,0.7002314814814815,0.8139632038767101,0.6508481095274762,0.6854103740250905
PSF-CE w/o nonlinear filtering,Caltech101-20,0.2608270466610785,0.3996663382269172,0.15067187765569048,0.2029965981479078
PSF-CE w/o nonlinear filtering,Caltech101-20-MV,0.48016205644034643,0.6243709995649885,0.36316343625664516,0.4484301791514191
PSF-CE w/o nonlinear filtering,Cardiotocography,0.4084352461586704,0.35817994091754807,0.18003024238158283,0.3590134742884587
PSF-CE w/o nonlinear filtering,Chameleon,0.3227931488801054,0.0645215350884266,0.0473192878258633,0.2713430424915679
PSF-CE w/o nonlinear filtering,CiteSeer,0.37882447665056357,0.14625364685469724,0.15655169477170705,0.30930122918660446
PSF-CE w/o nonlinear filtering,Coauthor CS,0.6126293205331006,0.613986466236594,0.4965352689661682,0.5678499049403043
PSF-CE w/o nonlinear filtering,Coauthor Physics,0.7768436107809314,0.5949569439494592,0.6899855050440332,0.6795040159225874
PSF-CE w/o nonlinear filtering,Cora,0.48375184638109303,0.36115673671306964,0.25799856448573294,0.35607788673713037
PSF-CE w/o nonlinear filtering,CoraFull,0.3318344869398272,0.48684938111437953,0.2274716437835748,0.2406689955923537
PSF-CE w/o nonlinear filtering,DBLP,0.8853011256264892,0.6705180537914974,0.7307403243538216,0.8794356924642849
PSF-CE w/o nonlinear filtering,Extended Yale-B,0.09624413145539905,0.12502269122719406,0.0144244172399801,0.10189390011277533
PSF-CE w/o nonlinear filtering,Handwritten,0.9485,0.9045463997735771,0.8901357636452456,0.9489840485118428
PSF-CE w/o nonlinear filtering,Human Kidney,0.3495238095238095,0.2677381412646245,0.10631529998604239,0.23824057306125365
PSF-CE w/o nonlinear filtering,IMDB,0.3548387096774193,0.003368230427138267,-0.0010326457085545915,0.3076615567049848
PSF-CE w/o nonlinear filtering,Isolet,0.6089743589743589,0.050995534336719495,0.06293599500037977,0.5808517073304812
PSF-CE w/o nonlinear filtering,LandUse-21,0.21571428571428566,0.31266646563174577,0.09834835369279016,0.1717414440742641
PSF-CE w/o nonlinear filtering,Letter,0.2743333333333333,0.3885909511411006,0.1297617795405042,0.28513237964970434
PSF-CE w/o nonlinear filtering,Leukemia,0.7083333333333334,0.1253125064853033,0.162077515013866,0.6950998185117966
PSF-CE w/o nonlinear filtering,Leukemia2,0.601851851851852,0.46743271761603283,0.34445302044529186,0.49296730512535986
PSF-CE w/o nonlinear filtering,MFeat-pix,0.8406666666666666,0.8119825804671735,0.7505412184453869,0.8380378798112783
PSF-CE w/o nonlinear filtering,MSRC-v1,0.7365079365079366,0.6766183269796441,0.5920441346490172,0.7035511848284894
PSF-CE w/o nonlinear filtering,Movies617,0.12155591572123174,0.09952227897832581,0.0068232518239419,0.0600206927804204
PSF-CE w/o nonlinear filtering,NGs,0.208,0.019240577854226334,4.78712361580198e-05,0.0829658156750414
PSF-CE w/o nonlinear filtering,NUSWIDE-Object-2000,0.16866666666666666,0.17044814483624973,0.044836476062084435,0.11114135998446843
PSF-CE w/o nonlinear filtering,ORL,0.6558333333333334,0.8375665035120577,0.46763928944506533,0.6507845967461257
PSF-CE w/o nonlinear filtering,PubMed,0.5159676083244578,0.15885636495146194,0.1119346082478836,0.4364709526463925
PSF-CE w/o nonlinear filtering,Reuters,0.4726666666666666,0.20719591847661778,0.16861687751195156,0.21092867638921073
PSF-CE w/o nonlinear filtering,Scene15,0.4057227796358231,0.42071523444512643,0.22869642011480354,0.39505077836919983
PSF-CE w/o nonlinear filtering,Squirrel,0.23431391399089915,0.010610336514197035,0.004304373676860466,0.19075107632133648
PSF-CE w/o nonlinear filtering,UMIST,0.42144927536231885,0.6095922252668655,0.30077811852000175,0.41813229317830397
PSF-CE w/o nonlinear filtering,USPS3568,0.6740211983560459,0.6463054475181398,0.5361766739089943,0.6106358113764809
PSF-CE w/o nonlinear filtering,WebKB,0.780209324452902,0.0008822294415695,-0.001367446150206,0.4382683057188668
PSF-CE w/o nonlinear filtering,WebKB-Cornell,0.34017094017094013,0.08488625666188143,0.023641611938271165,0.2808736162955726
PSF-CE w/o nonlinear filtering,WebKB-Texas,0.4260249554367201,0.03985720888603513,0.03462747389785243,0.21906233285899324
PSF-CE w/o nonlinear filtering,WebKB-Washington,0.44637681159420284,0.07478179678145187,0.05479467365053161,0.22968946559719447
