dataset,method,ACC,NMI,ARI,F1
Cardiotocography,CA,0.40843524615867038,0.35817994091754807,0.18003024238158283,0.3590134742884587
Cardiotocography,CEHM,0.35810598933835053,0.26862010153571098,0.11470343227850648,0.19211807438271791
Cardiotocography,LinearPair,0.40843524615867038,0.35817994091754807,0.18003024238158283,0.3590134742884587
Cardiotocography,PSF-CE,0.40843524615867038,0.35808674691229064,0.18005573080551307,0.35895010987138759
Cardiotocography,Poly2,0.41172781436186895,0.3598555153596692,0.18270363056492131,0.36134196297697746
Cardiotocography,RANGE,0.3866415804327375,0.35036604627816104,0.17085738805789438,0.373107908164793
Cardiotocography,YACHT,0.38115396676074004,0.34461826800063666,0.16697892143360379,0.37187198123391224
Chameleon,AggregatePower,0.32279314888010541,0.064521535088426563,0.047319287825863303,0.27134304249156788
Chameleon,CA,0.32279314888010541,0.064521535088426563,0.047319287825863303,0.27134304249156788
Chameleon,CEHM,0.33055189576928706,0.067051466478168564,0.049293369480914034,0.27735959912479957
Chameleon,LinearPair,0.32279314888010541,0.064521535088426604,0.047319287825863303,0.27134304249156788
Chameleon,PSF-CE,0.32279314888010541,0.064521535088426604,0.047319287825863303,0.27134304249156788
Chameleon,Poly2,0.323671497584541,0.064826548532170999,0.048061125388580102,0.27295665573679262
Chameleon,RANGE,0.32630654369784801,0.078754436846554629,0.04379995047938013,0.32283194951197736
Chameleon,YACHT,0.32030449421753765,0.079083244494396368,0.050465814185546236,0.31773404171267733
CiteSeer,AggregatePower,0.37882447665056357,0.14625364685469724,0.15655169477170705,0.30930122918660446
CiteSeer,CA,0.37882447665056357,0.14625364685469724,0.15655169477170705,0.30930122918660446
CiteSeer,CEHM,0.36815619967793878,0.13651917943169767,0.14653620462010436,0.29718122012839121
CiteSeer,LinearPair,0.37882447665056357,0.14625364685469724,0.15655169477170705,0.30930122918660446
CiteSeer,PSF-CE,0.37882447665056357,0.14625364685469719,0.15655169477170705,0.31027547640510833
CiteSeer,Poly2,0.37882447665056357,0.14625364685469724,0.15655169477170705,0.30930122918660446
CiteSeer,RANGE,0.39432367149758457,0.16303706849504593,0.16121613534842028,0.34628152026043685
CiteSeer,YACHT,0.42663043478260865,0.17330478242637523,0.17712913255624205,0.38182728652921666
Coauthor CS,AggregatePower,0.6126293205331006,0.61398646623659403,0.49653526896616818,0.5678499049403043
Coauthor CS,CA,0.6126293205331006,0.61398646623659403,0.49653526896616818,0.5678499049403043
Coauthor CS,CEHM,0.41729849633629695,0.3922029528719036,0.16260721568159209,0.19385078499019082
Coauthor CS,LinearPair,0.6126293205331006,0.61398646623659403,0.49653526896616818,0.5678499049403043
Coauthor CS,PSF-CE,0.61266568483063333,0.61313851597272395,0.49516227297740362,0.5674509540488476
Coauthor CS,Poly2,0.6126293205331006,0.61398646623659403,0.49653526896616818,0.5678499049403043
Coauthor CS,RANGE,0.58181057837415218,0.60387068806596,0.46117866189596235,0.51014606116766414
Coauthor CS,YACHT,0.56788305241913495,0.60411294437135854,0.43763971288349496,0.49553589535606202
Coauthor Physics,AggregatePower,0.77752974033378752,0.59585187694649233,0.69095170362391312,0.68959902681840735
Coauthor Physics,CA,0.77858309415436944,0.59690109852918471,0.69132577014304752,0.68158130457639976
Coauthor Physics,CEHM,0.82057229002986121,0.64118337270138814,0.70082591307962605,0.67000854042777946
Coauthor Physics,LinearPair,0.77867006832304142,0.59577093604591846,0.6917906979147187,0.69143907522042092
Coauthor Physics,PSF-CE,0.77871838730563692,0.59662740173873763,0.6934928343119755,0.69068397510239288
Coauthor Physics,Poly2,0.77830284405531558,0.59594060191070841,0.69164398704737218,0.69109267603147284
Coauthor Physics,RANGE,0.72780950724301563,0.57194556909122463,0.60265199634861777,0.6384250246045734
Coauthor Physics,YACHT,0.568608123387354,0.52424410418876877,0.41445533439687021,0.55465512950046503
Cora,AggregatePower,0.48375184638109303,0.36115673671306964,0.25799856448573294,0.35607788673713037
Cora,CA,0.48375184638109303,0.36115673671306964,0.25799856448573294,0.35607788673713037
Cora,CEHM,0.42466765140324964,0.23716257364857321,0.1661032123974944,0.26046577589093511
Cora,LinearPair,0.48375184638109303,0.36115673671306964,0.25799856448573294,0.35607788673713037
Cora,PSF-CE,0.48375184638109303,0.36136950876947882,0.258262019200098,0.35604162426626962
Cora,Poly2,0.48510585918266863,0.36204616514994709,0.25898897063299187,0.35698907953192133
Cora,RANGE,0.54923682914820293,0.38518779292129129,0.32278607170313672,0.51462753702979513
Cora,YACHT,0.53803545051698665,0.37200957477630386,0.3039318859229439,0.49348893085148893
CoraFull,AggregatePower,0.3318344869398272,0.48684938111437953,0.22747164378357479,0.24066899559235369
CoraFull,CA,0.3318344869398272,0.48684938111437953,0.22747164378357479,0.24066899559235369
CoraFull,CEHM,0.33405749507401605,0.48538376514040599,0.21624117134068541,0.21225932524108956
CoraFull,LinearPair,0.33343437915761465,0.48832185284583746,0.22791696619161939,0.24205656881040419
CoraFull,PSF-CE,0.33390592633759408,0.48808600392435536,0.2288447561331588,0.24401098312613856
CoraFull,Poly2,0.33343437915761459,0.48815430024658485,0.22776626943159914,0.24245667764851778
CoraFull,RANGE,0.29857356978056215,0.46890033434786682,0.19110840745593835,0.24378309879879578
CoraFull,YACHT,0.31484194748985322,0.47163600148927948,0.20247159314924912,0.26314623602068138
DBLP,AggregatePower,0.88497247555665093,0.6686845080240541,0.73013267009885696,0.8788887202337623
DBLP,CA,0.88489031303919152,0.66989986746428387,0.7294935986177995,0.87921121937631208
DBLP,CEHM,0.29504560019719001,0,0,0.1139132089836315
DBLP,LinearPair,0.88497247555665093,0.6686845080240541,0.73013267009885696,0.8788887202337623
DBLP,PSF-CE,0.88612275080108438,0.6715503255188654,0.73221396247543036,0.88032104434026393
DBLP,Poly2,0.88497247555665093,0.6686845080240541,0.73013267009885696,0.8788887202337623
DBLP,RANGE,0.82318626242708071,0.56880165672080607,0.60926420641921952,0.81619215161368386
DBLP,YACHT,0.49272861720483113,0.22757557581147295,0.2062784850547931,0.48248167284610649
Extended Yale-B,AggregatePower,0.096520298260149115,0.12496030109320495,0.0148409283883083,0.1019064847253809
