"panel","parameter","q","lambda","dataset","ACC","NMI"
"lambda","4.0","0.72","4.0","Chameleon","0.32367149758454106","0.06482654853217104"
"lambda","4.0","0.72","4.0","Iris","0.82","0.6390424553720329"
"lambda","4.0","0.72","4.0","Leukemia","0.7083333333333334","0.12531250648530332"
"lambda","4.0","0.72","4.0","Leukemia2","0.5833333333333334","0.3787152004392477"
"lambda","4.0","0.72","4.0","Mushroom","0.730018053504021","0.2824301676802805"
"lambda","4.0","0.72","4.0","ORL","0.6533333333333333","0.8427302278646026"
"lambda","12.0","0.72","12.0","ACM","0.6834159779614325","0.45720553782956336"
"lambda","12.0","0.72","12.0","Amazon Photo","0.5911111111111111","0.5399086200562871"
"lambda","12.0","0.72","12.0","BBC News Sport","0.4029850746268657","0.20849180207468362"
"lambda","12.0","0.72","12.0","Caltech101-20","0.26082704666107853","0.3997327011043641"
"lambda","12.0","0.72","12.0","Chameleon","0.32367149758454106","0.06482654853217104"
"lambda","12.0","0.72","12.0","Iris","0.8222222222222223","0.6412121188091104"
"lambda","12.0","0.72","12.0","Leukemia","0.7083333333333334","0.12531250648530332"
"lambda","12.0","0.72","12.0","Leukemia2","0.5833333333333334","0.3787152004392477"
"lambda","12.0","0.72","12.0","Mushroom","0.7309207287050713","0.2901157315824327"
"lambda","12.0","0.72","12.0","ORL","0.6591666666666667","0.8490028148293508"
