"panel","parameter","q","lambda","dataset","pool","n","c","M","returned_k","ACC","NMI","prediction_file_sha256"
"q","12.0","12.0","0.665","Leukemia","1","72","2","20","2","0.7083333333333334","0.12531250648530332","c22587cf0c80fafc89154b95454f53e39ce881e9c2b6ff53c4724d299d384cee"
"q","12.0","12.0","0.665","Leukemia","2","72","2","20","2","0.7083333333333334","0.12531250648530332","f551f6fe5c7f33b404e806e1827ab9097a0f22830b5cfbe24dc969c615376e7c"
"q","12.0","12.0","0.665","Leukemia2","0","72","3","20","3","0.6111111111111112","0.489053040886391","3c7dbc1f960130098a20223c51465358f264186d8d9f53382a97eb71b461e611"
"q","12.0","12.0","0.665","Leukemia2","1","72","3","20","3","0.5555555555555556","0.3696364443436753","3950fc70d0665514635a5dcc642c9a71863395984fa5222944e45f17b41a30bb"
"q","12.0","12.0","0.665","Leukemia2","2","72","3","20","3","0.6111111111111112","0.489053040886391","7ab582d43f239656791da58798046e32797bb2cd8e5314fa23b03ca3b94dda41"
"q","12.0","12.0","0.665","Mushroom","0","8124","2","20","2","0.7304283604135894","0.2841621339305455","545f9804dca513a95d7a1fcf67faed08885331288f505df3383901d154f9b06c"
"q","12.0","12.0","0.665","Mushroom","1","8124","2","20","2","0.7284588872476613","0.2745649818993745","8a234535fafc3cae0556525c41e72b54925699dc4c69e1e3bdfbff1291205350"
"q","12.0","12.0","0.665","Mushroom","2","8124","2","20","2","0.7296898079763663","0.2796139587182322","03833b0cd7a6775424dd5f820e54c02f6e012459ad97b986f4dec9497ac18f6a"
"q","12.0","12.0","0.665","ORL","0","400","40","20","40","0.6175","0.8298653935263656","d5896ce6ac87d6a474fa0fc5d408d3e820300291af998108754f878ed1e4413d"
"q","12.0","12.0","0.665","ORL","1","400","40","20","40","0.585","0.8130550639387957","a8047e677060223101b43705e850992440202a3e131bcf156698d2e5c48862f3"
