dataset,pool,variant,method,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,status
Coauthor CS,1,w/o interaction,CA,18333,15,20,0.6137020673103147,0.6176016562133255,0.4982354650004488,0.5700550374962351,3.3507440999965183,ok
Coauthor CS,0,w/o interaction,CA,18333,15,20,0.6070474008618338,0.6097483379516607,0.493431505310873,0.5625805369648886,3.308755599995493,ok
Coauthor Physics,0,w/o interaction,CA,34493,5,20,0.7787087235091178,0.5992865600614794,0.6950582917925983,0.6912614999124568,0.1165897000028053,ok
Coauthor Physics,1,w/o interaction,CA,34493,5,20,0.7779259559910706,0.5936794780640863,0.6841261813290886,0.6630137717556851,0.11785900000541,ok
Coauthor Physics,2,w/o interaction,CA,34493,5,20,0.77911460296292,0.5977372574619886,0.6947928373074558,0.6904686420610574,0.1158487000066088,ok
Cora,0,w/o interaction,CA,2708,7,20,0.4855982274741506,0.3628934280935303,0.2606311979209217,0.3551570964424254,0.2036784999945666,ok
Cora,1,w/o interaction,CA,2708,7,20,0.4800590841949778,0.3586841893828535,0.2504381113335031,0.3577692960237785,0.2051479000074323,ok
Cora,2,w/o interaction,CA,2708,7,20,0.4855982274741506,0.361892592662825,0.2629263842027741,0.3553072677451871,0.2253068999998504,ok
Coauthor CS,2,w/o interaction,CA,18333,15,20,0.6171384934271532,0.614609404544796,0.4979388365871828,0.5709141403597893,2.6258342000073758,ok
COIL100,1,w/o interaction,CA,7200,100,20,0.5269444444444444,0.7810616153910576,0.4057125325778142,0.5036591193070207,23.72923090000404,ok
COIL100,0,w/o interaction,CA,7200,100,20,0.5166666666666667,0.787651989442337,0.4351719493330265,0.4959140626170348,22.47758539998904,ok
DBLP,0,w/o interaction,CA,4057,4,20,0.8843973379344343,0.6677629377194271,0.729246492422971,0.878154326653255,0.2268769000074826,ok
DBLP,1,w/o interaction,CA,4057,4,20,0.8819324624106483,0.664996211609379,0.7232993312008311,0.876286926541539,0.2157630000001518,ok
DBLP,2,w/o interaction,CA,4057,4,20,0.888341138772492,0.6769404530640456,0.7359349722295963,0.8831924049341422,0.2100853000010829,ok
COIL100,2,w/o interaction,CA,7200,100,20,0.52625,0.7870923052846232,0.4335072638899516,0.5007305235767112,24.60511499999848,ok
Extended Yale-B,0,w/o interaction,CA,2414,38,20,0.0932062966031483,0.1275150247692268,0.0132584936264733,0.0988237874823795,1.5025847000069916,ok
Extended Yale-B,1,w/o interaction,CA,2414,38,20,0.0981772990886495,0.1237365505862917,0.0138668569152343,0.103968291786234,1.606335799995577,ok
Extended Yale-B,2,w/o interaction,CA,2414,38,20,0.0973487986743993,0.1238164983260637,0.0161479011782327,0.1028896210697125,1.5783879999944477,ok
Handwritten,0,w/o interaction,CA,2000,10,20,0.9485,0.9062326231665452,0.8904037807275109,0.948942941969803,0.2628328999999212,ok
Handwritten,1,w/o interaction,CA,2000,10,20,0.9515,0.9080928402948534,0.8969219691343323,0.9518591188723804,0.2762351999990642,ok
Handwritten,2,w/o interaction,CA,2000,10,20,0.9455,0.9007652906426836,0.8843330032787458,0.9458758556813646,0.2657278999977279,ok
Human Kidney,0,w/o interaction,CA,2100,11,20,0.3571428571428571,0.2734699672920742,0.1130817249197119,0.2480919513550209,0.2786830999975791,ok
Human Kidney,1,w/o interaction,CA,2100,11,20,0.3523809523809524,0.2668406068208934,0.1001641261716429,0.2442639495606854,0.3028048999985913,ok
IMDB,0,w/o interaction,CA,4278,3,20,0.3564749883122954,0.0039915497823305,3.915249018072575e-05,0.3273786228563725,0.0863220999890472,ok
IMDB,1,w/o interaction,CA,4278,3,20,0.3583450210378681,0.0033287185948011,-0.0021205202030119,0.2947784744116594,0.1426019000064116,ok
Human Kidney,2,w/o interaction,CA,2100,11,20,0.3471428571428571,0.2604146326965604,0.1070032921757491,0.2324759602269654,0.2908777999982703,ok
Isolet,0,w/o interaction,CA,1560,2,20,0.541025641025641,0.0162064336167724,0.0064747382694398,0.4607173826137169,0.0598229999886825,ok
IMDB,2,w/o interaction,CA,4278,3,20,0.3496961196820944,0.0027844229042832,-0.0010165694128326,0.3008275728469225,0.1409510999947087,ok
Isolet,1,w/o interaction,CA,1560,2,20,0.6871794871794872,0.1036066963230204,0.1395927774683105,0.6871748595886527,0.0605920000089099,ok
Isolet,2,w/o interaction,CA,1560,2,20,0.5935897435897436,0.0268679699677948,0.0344409579517913,0.5895902043417858,0.0691711999970721,ok
LandUse-21,0,w/o interaction,CA,2100,21,20,0.2252380952380952,0.3201503354463587,0.1016266211341214,0.1880826253970536,0.8039382999995723,ok
LandUse-21,1,w/o interaction,CA,2100,21,20,0.2171428571428571,0.3098591555229085,0.0991911041769174,0.1636087545336944,0.9903816000005464,ok
LandUse-21,2,w/o interaction,CA,2100,21,20,0.2047619047619047,0.3079899059259702,0.0942273357673317,0.1635329522920443,0.9583731000020634,ok
ALOI,0,w/o interaction,CA,10800,100,20,0.6946296296296296,0.8094160687542088,0.3099550594520877,0.7132327552264465,36.27120889999787,ok
ALOI,1,w/o interaction,CA,10800,100,20,0.6951851851851852,0.8028280374871037,0.2731442802313872,0.7238061464599507,36.89000400000077,ok
