dataset,pool,group,task_family,split,source_id,method,params,status,n,c,M,ACC,NMI,ARI,F1,runtime_seconds,spectral_seconds,objective,rounding_objective,eig_max,eig_min_topc,commutator_ratio,interaction_scale,solver,rounding,sweeps,moves,history_json,rounding_candidates_json,skip_reason
MSRC-v1,2,TEXT_MV,,formal,,LinearPair,"{""lambda"": 3.0}",ok,210,7,20,0.7428571428571429,0.6744866496152505,0.5828475770396693,0.7316711807584115,0.11868690000846982,0.0023721000034129247,,11.457087327691566,3.7264391365577216,0.9596810915789843,3.667039132126126e-16,2.1341747765422,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 11.044521507295956, ""kmeans_norm"": 11.35349841373937, ""kmeans_raw"": 11.457087327691566}",
MSRC-v1,2,TEXT_MV,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,210,7,20,0.7428571428571429,0.6744866496152505,0.5828475770396693,0.7316711807584115,0.11183530000562314,0.0023541000118711963,,5.275006902153569,1.3478821294632992,0.47899488411653124,0.0037185893493577775,2.181860831139969,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 4.708258165201396, ""kmeans_norm"": 5.234431730279727, ""kmeans_raw"": 5.275006902153569}",
MSRC-v1,2,TEXT_MV,,formal,,Poly2,"{""eta"": 8.0}",ok,210,7,20,0.7285714285714285,0.6666883668152664,0.5918635398605238,0.6867978681479329,0.10692750000453088,0.0022997000050963834,,14.05326316412179,4.57163298466721,1.0946924360154018,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 10.705613713188479, ""kmeans_norm"": 13.801253843402893, ""kmeans_raw"": 14.05326316412179}",
Movies617,0,CONTENT_RELATION_8,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,617,17,20,0.12317666126418152,0.1037377369189307,0.006621988651551587,0.0664493288668817,0.3200996999948984,0.008763999998336658,,5.939163573644508,1.5068327173941867,0.06793085484608115,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.248925949581432, ""kmeans_norm"": 3.579376242315036, ""kmeans_raw"": 5.939163573644508}",
Movies617,0,CONTENT_RELATION_8,,formal,,CA,{},ok,617,17,20,0.12317666126418152,0.1037377369189307,0.006621988651551587,0.0664493288668817,0.3215386999945622,0.008307299998705275,,6.162612688328654,0.9999999999999969,0.2740604077372847,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.584971877045394, ""kmeans_norm"": 4.082077304026731, ""kmeans_raw"": 6.162612688328654}",
Movies617,0,CONTENT_RELATION_8,,formal,,LinearPair,"{""lambda"": 3.0}",ok,617,17,20,0.12317666126418152,0.1037377369189307,0.006621988651551587,0.0664493288668817,0.3373018999991473,0.008237300004111603,,25.10065674711055,2.8251414936273247,0.9999999999999967,2.1562256203522697e-16,3.9834365534042657,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 22.41199246822594, ""kmeans_norm"": 13.829661493619515, ""kmeans_raw"": 25.10065674711055}",
Movies617,0,CONTENT_RELATION_8,,formal,,PSF-CE,"{""lambda"": 0.665, ""q"": 0.72}",ok,617,17,20,0.12317666126418152,0.10461715690425737,0.006318066511422831,0.06881285070760222,0.30794549999700394,0.00908740000159014,,10.357032413593267,0.9999999999999967,0.4472183444822796,0.0029064189280361918,4.044601031332748,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 9.301957121605467, ""kmeans_norm"": 6.07352425748897, ""kmeans_raw"": 10.357032413593267}",
Movies617,0,CONTENT_RELATION_8,,formal,,Poly2,"{""eta"": 8.0}",ok,617,17,20,0.12317666126418152,0.1037377369189307,0.006621988651551587,0.0664493288668817,0.31904750000103377,0.009101200004806742,,20.271624735155275,2.14768355500235,0.8749332644503014,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 17.826688415455177, ""kmeans_norm"": 11.514047992496486, ""kmeans_raw"": 20.271624735155275}",
Movies617,1,CONTENT_RELATION_8,,formal,,AggregatePower,"{""q_after"": 6.0}",ok,617,17,20,0.12641815235008103,0.10794660870299566,0.00729707810963346,0.06488781640571525,0.3279715000098804,0.009315800009062514,,6.285591657736464,1.2551827072288895,0.04460118311711142,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.019033526378067, ""kmeans_norm"": 3.020322361548828, ""kmeans_raw"": 6.285591657736464}",
Movies617,1,CONTENT_RELATION_8,,formal,,CA,{},ok,617,17,20,0.12641815235008103,0.10794660870299566,0.00729707810963346,0.06488781640571525,0.32029449999390636,0.008750199995120056,,6.467078260699857,1.0000000000000002,0.27033506075864866,,,spectral,kmeans_raw,0,0,[],"{""cluster_qr"": 5.204334477725309, ""kmeans_norm"": 4.017981758260713, ""kmeans_raw"": 6.467078260699857}",
